,correct,QuestionLink,section type,optA,optB,optC,optD,category,usedFor,lang,source
1,a,https://i.imgur.com/TSzefm5.png,locopilot_electrical,A,B,C,D,20.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
2,b,https://i.imgur.com/mIiQN5p.png,locopilot_electrical,A,B,C,D,20.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
3,b,https://i.imgur.com/P9P0s3c.png,locopilot_electrical,A,B,C,D,20.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
4,b,https://i.imgur.com/D8pQ8eZ.png,locopilot_electrical,A,B,C,D,20.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
5,b,https://i.imgur.com/7dVBOpn.png,locopilot_electrical,A,B,C,D,20.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
6,b,https://i.imgur.com/dRLu5H6.png,locopilot_electrical,A,B,C,D,20.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
7,d,https://i.imgur.com/OtOU0jw.png,locopilot_electrical,A,B,C,D,20.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
8,d,https://i.imgur.com/JYzq9AF.png,locopilot_electrical,A,B,C,D,20.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
9,b,https://i.imgur.com/qKfJvW9.png,locopilot_electrical,A,B,C,D,20.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
10,d,https://i.imgur.com/mzhsz73.png,locopilot_electrical,A,B,C,D,20.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
11,d,https://i.imgur.com/ccLsTuo.png,locopilot_electrical,A,B,C,D,20.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
12,c,https://i.imgur.com/3SY0qEj.png,locopilot_electrical,A,B,C,D,20.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
13,b,https://i.imgur.com/jpsGeyY.png,locopilot_electrical,A,B,C,D,20.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
14,d,https://i.imgur.com/wQSLDBo.png,locopilot_electrical,A,B,C,D,20.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
15,a,https://i.imgur.com/1lMwejA.png,locopilot_electrical,A,B,C,D,20.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
