,correct,QuestionLink,section type,optA,optB,optC,optD,category,usedFor,lang,source
12,a,https://i.imgur.com/F2At89B.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
13,b,https://i.imgur.com/M2mmItl.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
14,a,https://i.imgur.com/aOJ7Lfb.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
15,b,https://i.imgur.com/4vtakIN.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
16,b,https://i.imgur.com/vHMJR3c.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
17,c,https://i.imgur.com/Guesl0X.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
18,a,https://i.imgur.com/xaCZJZ0.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
19,a,https://i.imgur.com/X272vYX.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
20,a,https://i.imgur.com/rXMPqS1.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
22,a,https://i.imgur.com/pHZXycA.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
23,d,https://i.imgur.com/cp3ROfm.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
24,a,https://i.imgur.com/jm4bKVC.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
25,a,https://i.imgur.com/XhwdfKz.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
26,c,https://i.imgur.com/Yk1YpY3.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
27,d,https://i.imgur.com/XfZBnPo.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
28,c,https://i.imgur.com/ydzhi4C.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
29,d,https://i.imgur.com/kIxbVZK.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
30,d,https://i.imgur.com/Ep3SoOv.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
31,b,https://i.imgur.com/PFFCasm.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
32,a,https://i.imgur.com/h8R4236.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
33,a,https://i.imgur.com/pNnoquy.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
34,a,https://i.imgur.com/ZEBApWx.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
35,c,https://i.imgur.com/jGSUJNm.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
36,a,https://i.imgur.com/XmTUvxo.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
37,a,https://i.imgur.com/2pIoRQZ.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
38,d,https://i.imgur.com/yK3NIEg.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
39,b,https://i.imgur.com/TNzvLt7.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
40,d,https://i.imgur.com/Kj3pS22.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
42,b,https://i.imgur.com/GcC9Xl9.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
43,b,https://i.imgur.com/tg8x1an.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
44,d,https://i.imgur.com/HOUUaXo.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
45,b,https://i.imgur.com/oBpTXWv.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
46,a,https://i.imgur.com/MoGUuti.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
47,c,https://i.imgur.com/Hz6sCbC.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
48,d,https://i.imgur.com/js4psuj.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
49,a,https://i.imgur.com/gGDxnO9.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
50,d,https://i.imgur.com/X9oRc93.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
51,b,https://i.imgur.com/AG9Z3p9.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
52,a,https://i.imgur.com/UOjqTKc.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
53,b,https://i.imgur.com/XTKCnIz.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
54,a,https://i.imgur.com/72E0Ipj.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
55,d,https://i.imgur.com/iLQaKM3.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
56,a,https://i.imgur.com/Pq5LvsZ.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
57,a,https://i.imgur.com/IBlWXTr.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
58,c,https://i.imgur.com/WDCxdct.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
59,c,https://i.imgur.com/uVH6OyC.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
61,b,https://i.imgur.com/X14Tw64.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
62,b,https://i.imgur.com/QCPZSYJ.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
63,d,https://i.imgur.com/wWrnd8y.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
64,a,https://i.imgur.com/kfV2TvN.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
65,d,https://i.imgur.com/DtbBz2M.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
66,a,https://i.imgur.com/QqoFXDv.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
67,b,https://i.imgur.com/VW3cKh5.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
68,a,https://i.imgur.com/TeSmok5.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
69,a,https://i.imgur.com/cOQ1bmJ.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
70,c,https://i.imgur.com/7uFHP8O.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
71,c,https://i.imgur.com/Te3QWve.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
72,d,https://i.imgur.com/mv3EY9n.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
73,d,https://i.imgur.com/UnPWRKS.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
74,b,https://i.imgur.com/xXcwdPX.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
77,c,https://i.imgur.com/YKlrIu1.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
78,a,https://i.imgur.com/GP4ZAPW.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
79,a,https://i.imgur.com/hP3CmJa.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
80,b,https://i.imgur.com/0as0R7w.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
81,a,https://i.imgur.com/ul8snkC.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
82,c,https://i.imgur.com/BuQWId8.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
83,c,https://i.imgur.com/NAY83hp.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
84,c,https://i.imgur.com/i1y7PKb.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
85,a,https://i.imgur.com/vpjSImt.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
86,d,https://i.imgur.com/1eznTqn.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
87,c,https://i.imgur.com/AVHCGaY.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
88,b,https://i.imgur.com/SIcuV6W.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
89,a,https://i.imgur.com/Veb1cvP.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
90,b,https://i.imgur.com/7buPgi6.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
91,d,https://i.imgur.com/oXqKFya.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
92,b,https://i.imgur.com/J4SCmlT.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
93,c,https://i.imgur.com/Y8XINm6.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
94,a,https://i.imgur.com/F27Mxn6.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
95,b,https://i.imgur.com/JRDrw4B.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
97,b,https://i.imgur.com/7HkwcRF.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
98,b,https://i.imgur.com/cT6AqMk.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
