SL.NO.,correct,QuestionLink,sectionType,optA,optB,optC,optD,category,usedFor,lang,source
1,C,https://i.imgur.com/e42T0a1.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
2,C,https://i.imgur.com/Dpj0Tzb.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
3,C,https://i.imgur.com/8eEcSRG.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
4,A,https://i.imgur.com/Zg6LAAb.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
6,A,https://i.imgur.com/PBgP8Pr.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
7,C,https://i.imgur.com/yZFlCOG.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
8,A,https://i.imgur.com/WPsTHLm.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
9,A,https://i.imgur.com/ci0OS85.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
10,B,https://i.imgur.com/rNjVd9T.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
11,A,https://i.imgur.com/pcjVR10.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
12,A,https://i.imgur.com/zhTEYYF.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
13,C,https://i.imgur.com/3fqMaT6.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
14,A,https://i.imgur.com/xQRuZ5X.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
15,A,https://i.imgur.com/5vjpN5x.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
16,C,https://i.imgur.com/AoncMve.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
17,C,https://i.imgur.com/E9mtZbe.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
19,A,https://i.imgur.com/EpErMv5.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
20,D,https://i.imgur.com/RifTlbm.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
21,C,https://i.imgur.com/UKGeaGv.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
22,D,https://i.imgur.com/lIUOcBD.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
23,D,https://i.imgur.com/9yL5YeG.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
24,B,https://i.imgur.com/8wrnl10.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
25,C,https://i.imgur.com/J8vnXGD.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
26,B,https://i.imgur.com/AKuNvbe.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
27,A,https://i.imgur.com/lSgm2kH.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
28,C,https://i.imgur.com/gxvpuZl.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
29,B,https://i.imgur.com/qjhJYlt.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
30,A,https://i.imgur.com/qCSwM0g.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
31,C,https://i.imgur.com/qDyqOT4.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
32,A,https://i.imgur.com/9qCgjJg.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
33,D,https://i.imgur.com/8NCk5dm.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
34,C,https://i.imgur.com/Sg0bnAY.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
35,B,https://i.imgur.com/KFXIOLm.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
36,B,https://i.imgur.com/diXaARX.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
37,B,https://i.imgur.com/cHvBDQI.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
38,A,https://i.imgur.com/7mf8EwO.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
39,B,https://i.imgur.com/87PVvs6.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
40,D,https://i.imgur.com/3BipArm.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
41,B,https://i.imgur.com/zcupfY4.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
42,B,https://i.imgur.com/5iJwqIz.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
43,C,https://i.imgur.com/27Aa9KK.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
44,C,https://i.imgur.com/Ki7NpWk.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
45,C,https://i.imgur.com/ROfJEEB.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
46,C,https://i.imgur.com/3l1E4rS.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
47,D,https://i.imgur.com/xF39IrL.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
48,C,https://i.imgur.com/dkfIPju.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
49,C,https://i.imgur.com/CCI9vbs.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
50,A,https://i.imgur.com/Q04vtDZ.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
51,A,https://i.imgur.com/OLqZCzQ.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
52,D,https://i.imgur.com/POYQj7X.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
53,A,https://i.imgur.com/Ia8YWxQ.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
54,B,https://i.imgur.com/bdSYP2g.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
55,B,https://i.imgur.com/XEtuHET.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
57,D,https://i.imgur.com/qkg4se6.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
58,B,https://i.imgur.com/GR0AHsZ.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
59,C,https://i.imgur.com/BopSsFY.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
60,A,https://i.imgur.com/WlRNyVw.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
61,B,https://i.imgur.com/Os72HoK.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
62,C,https://i.imgur.com/QOtQFCk.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
63,B,https://i.imgur.com/I67QxZk.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
64,B,https://i.imgur.com/Qluup7Q.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
65,B,https://i.imgur.com/0o59Deg.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
66,B,https://i.imgur.com/Uh3q7Zt.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
67,B,https://i.imgur.com/n6ekjGD.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
68,C,https://i.imgur.com/zDUGIxY.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
69,D,https://i.imgur.com/yDRxANN.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
70,A,https://i.imgur.com/oKmSoWd.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
71,C,https://i.imgur.com/slnKyl6.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
72,B,https://i.imgur.com/p71y3BX.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
73,C,https://i.imgur.com/cpJthi9.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
74,D,https://i.imgur.com/SjOEiap.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
76,B,https://i.imgur.com/xEq4MiA.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
77,C,https://i.imgur.com/mevUhb8.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
78,D,https://i.imgur.com/2U2leHb.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
79,A,https://i.imgur.com/2sfK4Ho.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
80,C,https://i.imgur.com/b4kzGZ6.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
81,B,https://i.imgur.com/FK80DKT.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
82,C,https://i.imgur.com/YvVkhhY.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
83,B,https://i.imgur.com/iNQ9lxG.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
84,B,https://i.imgur.com/8dW9Rit.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
85,B,https://i.imgur.com/huaAGk2.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
86,A,https://i.imgur.com/R5tJmBL.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
87,D,https://i.imgur.com/l5uWt89.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
88,C,https://i.imgur.com/qZw2GxB.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
89,B,https://i.imgur.com/f3Oz4wn.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
90,C,https://i.imgur.com/oBQuBWV.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
92,C,https://i.imgur.com/zhJnPZu.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
93,A,https://i.imgur.com/FvknALd.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
94,B,https://i.imgur.com/hEzxoeo.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
95,A,https://i.imgur.com/FtdDQ6H.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
96,C,https://i.imgur.com/jp0fJaM.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
97,B,https://i.imgur.com/GycSa4d.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
98,A,https://i.imgur.com/9LrYO5C.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
99,B,https://i.imgur.com/PCUoqld.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
100,C,https://i.imgur.com/tUkZDxJ.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
101,B,https://i.imgur.com/00ADl8m.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
102,D,https://i.imgur.com/dy3d6J9.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
