,correct,QuestionLink,section type,optA,optB,optC,optD,category,usedFor,lang,source
1,c,https://i.imgur.com/arkVG21.png,locopilot_electrical,A,B,C,D,10.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
2,b,https://i.imgur.com/idOHGgG.png,locopilot_electrical,A,B,C,D,10.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
3,d,https://i.imgur.com/kpVwnY4.png,locopilot_electrical,A,B,C,D,10.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
4,c,https://i.imgur.com/1NO8eoC.png,locopilot_electrical,A,B,C,D,10.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
5,c,https://i.imgur.com/hMcmgZr.png,locopilot_electrical,A,B,C,D,10.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
6,d,https://i.imgur.com/QEihlDt.png,locopilot_electrical,A,B,C,D,10.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
8,b,https://i.imgur.com/tU2ov6j.png,locopilot_electrical,A,B,C,D,10.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
9,c,https://i.imgur.com/4GeEQ3N.png,locopilot_electrical,A,B,C,D,10.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
10,b,https://i.imgur.com/qgCZSpx.png,locopilot_electrical,A,B,C,D,10.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
11,a,https://i.imgur.com/C3YyrET.png,locopilot_electrical,A,B,C,D,10.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
12,b,https://i.imgur.com/2Tr7VBA.png,locopilot_electrical,A,B,C,D,10.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
13,c,https://i.imgur.com/ktHDFuP.png,locopilot_electrical,A,B,C,D,10.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
14,a,https://i.imgur.com/N95YQe0.png,locopilot_electrical,A,B,C,D,10.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
15,b,https://i.imgur.com/tkleBHg.png,locopilot_electrical,A,B,C,D,10.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
16,b,https://i.imgur.com/oTxpqXS.png,locopilot_electrical,A,B,C,D,10.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
18,c,https://i.imgur.com/0EREW0U.png,locopilot_electrical,A,B,C,D,10.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
19,a,https://i.imgur.com/FXnHngx.png,locopilot_electrical,A,B,C,D,10.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
20,d,https://i.imgur.com/DBkhFsb.png,locopilot_electrical,A,B,C,D,10.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
