sl.no.,correct,QuestionLink,section type,optA,optB,optC,optD,category,usedFor,lang,source
1,B,https://i.imgur.com/flN4zsO.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
2,B,https://i.imgur.com/TJJGO1N.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
3,A,https://i.imgur.com/MhJpOPb.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
4,D,https://i.imgur.com/ccCEK0f.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
5,A,https://i.imgur.com/yykTMv9.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
6,A,https://i.imgur.com/kjUK1Cv.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
7,A,https://i.imgur.com/1jf1z6C.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
8,A,https://i.imgur.com/dzgy5Y6.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
9,A,https://i.imgur.com/fmSOFNI.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
10,A,https://i.imgur.com/pPLWwmf.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
11,C,https://i.imgur.com/aCpylhb.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
13,A,https://i.imgur.com/OiIIQNY.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
14,A,https://i.imgur.com/OkZbzei.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
15,A,https://i.imgur.com/o0Qji5J.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
16,C,https://i.imgur.com/IiCWhPP.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
17,A,https://i.imgur.com/1DeLd9P.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
18,A,https://i.imgur.com/SjwTCmC.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
19,D,https://i.imgur.com/fN4WUWD.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
20,D,https://i.imgur.com/7KMfBXg.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
22,D,https://i.imgur.com/woFccur.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
23,C,https://i.imgur.com/fFBkCbb.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
24,A,https://i.imgur.com/SmhIvkg.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
25,C,https://i.imgur.com/yw3bfNc.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
26,C,https://i.imgur.com/GOxorZc.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
27,A,https://i.imgur.com/2CmxcGz.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
28,A,https://i.imgur.com/TUMXT7F.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
29,D,https://i.imgur.com/Iwg4oYT.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
31,A,https://i.imgur.com/IDnl9vE.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
32,B,https://i.imgur.com/SmuHnpg.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
33,D,https://i.imgur.com/0sEMc2K.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
34,D,https://i.imgur.com/Ru5x0RQ.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
35,B,https://i.imgur.com/B36vqRU.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
36,C,https://i.imgur.com/e7eX6rW.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
37,B,https://i.imgur.com/eaIWZZw.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
38,A,https://i.imgur.com/HEk5msB.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
39,B,https://i.imgur.com/pVD4m8K.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
40,D,https://i.imgur.com/ONjl33Z.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
