,correct,QuestionLink,section type,optA,optB,optC,optD,category,usedFor,lang,source
1,b,https://i.imgur.com/XiXsZaQ.png,locopilot_electrical,A,B,C,D,16.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
2,b,https://i.imgur.com/U7il1wK.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
3,b,https://i.imgur.com/EZVcDIi.png,locopilot_electrical,A,B,C,D,18.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
4,c,https://i.imgur.com/s7dt3nP.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
5,a,https://i.imgur.com/ljr4LaV.png,locopilot_electrical,A,B,C,D,20.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
7,b,https://i.imgur.com/hAiCep8.png,locopilot_electrical,A,B,C,D,21.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
8,c,https://i.imgur.com/L1lFOER.png,locopilot_electrical,A,B,C,D,22.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
9,b,https://i.imgur.com/f8c8toD.png,locopilot_electrical,A,B,C,D,23.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
10,c,https://i.imgur.com/LgPhO9u.png,locopilot_electrical,A,B,C,D,24.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
11,d,https://i.imgur.com/RYsHdbo.png,locopilot_electrical,A,B,C,D,25.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
12,b,https://i.imgur.com/26sC2Dt.png,locopilot_electrical,A,B,C,D,26.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
13,b,https://i.imgur.com/R357PqD.png,locopilot_electrical,A,B,C,D,27.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
14,b,https://i.imgur.com/4MQBkRg.png,locopilot_electrical,A,B,C,D,28.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
15,a,https://i.imgur.com/k7n17Ze.png,locopilot_electrical,A,B,C,D,29.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
16,d,https://i.imgur.com/6yuVK8n.png,locopilot_electrical,A,B,C,D,30.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
