,correct,QuestionLink,section type,optA,optB,optC,optD,category,usedFor,lang,source
1,b,https://i.imgur.com/eugiPe8.png,locopilot_electrical,A,B,C,D,18.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
2,d,https://i.imgur.com/3C8YPfZ.png,locopilot_electrical,A,B,C,D,18.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
3,c,https://i.imgur.com/RGO1QuC.png,locopilot_electrical,A,B,C,D,18.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
4,a,https://i.imgur.com/OZ3pCJR.png,locopilot_electrical,A,B,C,D,18.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
5,a,https://i.imgur.com/k3QfVGZ.png,locopilot_electrical,A,B,C,D,18.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
6,d,https://i.imgur.com/JDqe9XO.png,locopilot_electrical,A,B,C,D,18.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
7,b,https://i.imgur.com/HyUeOaf.png,locopilot_electrical,A,B,C,D,18.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
8,c,https://i.imgur.com/CHEz45k.png,locopilot_electrical,A,B,C,D,18.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
9,b,https://i.imgur.com/SKHLd1e.png,locopilot_electrical,A,B,C,D,18.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
10,b,https://i.imgur.com/I3pNDC8.png,locopilot_electrical,A,B,C,D,18.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
11,c,https://i.imgur.com/AFWZiCO.png,locopilot_electrical,A,B,C,D,18.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
12,a,https://i.imgur.com/7qOoALE.png,locopilot_electrical,A,B,C,D,18.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
13,c,https://i.imgur.com/tPmhxK0.png,locopilot_electrical,A,B,C,D,18.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
14,c,https://i.imgur.com/udmUK6X.png,locopilot_electrical,A,B,C,D,18.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
15,b,https://i.imgur.com/pZYkErN.png,locopilot_electrical,A,B,C,D,18.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
16,a,https://i.imgur.com/GtqWRtu.png,locopilot_electrical,A,B,C,D,18.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
17,b,https://i.imgur.com/DDRNMh3.png,locopilot_electrical,A,B,C,D,18.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
18,b,https://i.imgur.com/9Men0jw.png,locopilot_electrical,A,B,C,D,18.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
19,c,https://i.imgur.com/ugQHyJC.png,locopilot_electrical,A,B,C,D,18.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
20,c,https://i.imgur.com/ncJGiMu.png,locopilot_electrical,A,B,C,D,18.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
