,correct,QuestionLink,section type,optA,optB,optC,optD,category,usedFor,lang,source
1,d,https://i.imgur.com/ppMc6DK.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
2,b,https://i.imgur.com/gJexTF1.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
3,b,https://i.imgur.com/6clsepG.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
4,b,https://i.imgur.com/myig4YU.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
5,d,https://i.imgur.com/KW0psFO.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
6,b,https://i.imgur.com/WMAZUxJ.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
7,a,https://i.imgur.com/CPmd9Pm.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
8,b,https://i.imgur.com/u7nOo37.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
9,d,https://i.imgur.com/PP2Ldup.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
10,d,https://i.imgur.com/qrvDiRe.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
11,b,https://i.imgur.com/o5Kqq5C.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
12,b,https://i.imgur.com/Vhbq4CN.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
13,d,https://i.imgur.com/CzJWLcN.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
14,c,https://i.imgur.com/I6vxwrD.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
15,a,https://i.imgur.com/3r2vmGg.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
16,a,https://i.imgur.com/zqp0O6E.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
17,b,https://i.imgur.com/WBFC2Ck.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
18,c,https://i.imgur.com/R6wIfZn.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
19,b,https://i.imgur.com/3WrK88h.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
20,c,https://i.imgur.com/0wDy32m.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
22,a,https://i.imgur.com/nHeNnRa.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
23,b,https://i.imgur.com/jy6Jay2.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
24,c,https://i.imgur.com/LNoxEYp.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
25,a,https://i.imgur.com/YrZzEL1.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
26,a,https://i.imgur.com/ROLnAM2.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
27,a,https://i.imgur.com/cUdVETg.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
28,c,https://i.imgur.com/uT9NQGR.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
29,b,https://i.imgur.com/3k8CHbX.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
30,b,https://i.imgur.com/H1l3zlC.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
31,a,https://i.imgur.com/T5oesg0.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
32,b,https://i.imgur.com/BXzomgv.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
33,b,https://i.imgur.com/Bm6LAMi.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
34,b,https://i.imgur.com/bYJC7MU.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
35,a,https://i.imgur.com/HJnE0gN.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
36,c,https://i.imgur.com/772plcE.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
37,a,https://i.imgur.com/CkV1Ahv.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
38,b,https://i.imgur.com/eBSi9dl.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
40,b,https://i.imgur.com/fvUDhg2.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
41,b,https://i.imgur.com/M7PpjFr.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
42,b,https://i.imgur.com/hfaIkKl.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
43,a,https://i.imgur.com/Hcvtgb5.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
44,c,https://i.imgur.com/JOth13v.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
45,b,https://i.imgur.com/ABnSNX2.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
46,a,https://i.imgur.com/nEA5JQ5.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
47,d,https://i.imgur.com/srOcifL.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
