,correct,QuestionLink,section type,optA,optB,optC,optD,category,usedFor,lang,source
3,a,https://i.imgur.com/PZBgx9G.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
4,d,https://i.imgur.com/3eFtIBY.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
5,b,https://i.imgur.com/rJ9KmTk.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
6,c,https://i.imgur.com/hef308Z.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
7,b,https://i.imgur.com/60QkIDZ.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
8,b,https://i.imgur.com/OdenR5s.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
9,b,https://i.imgur.com/sce6vSr.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
10,b,https://i.imgur.com/VAM9wzA.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
11,d,https://i.imgur.com/1mYCxCJ.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
12,a,https://i.imgur.com/GjUtpjp.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
14,a,https://i.imgur.com/3Awipa5.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
15,b,https://i.imgur.com/v0VhIxl.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
16,a,https://i.imgur.com/vxJidt4.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
17,a,https://i.imgur.com/ISgfErR.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
18,a,https://i.imgur.com/b46W8IR.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
19,c,https://i.imgur.com/ua58NqK.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
20,b,https://i.imgur.com/qIYxoiP.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
21,c,https://i.imgur.com/aOZQVnj.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
22,a,https://i.imgur.com/4dHAt0U.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
23,b,https://i.imgur.com/W3sYmbW.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
24,b,https://i.imgur.com/q4WGowK.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
25,b,https://i.imgur.com/RUVISlt.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
26,d,https://i.imgur.com/PGBcPbe.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
27,a,https://i.imgur.com/iN6nVEF.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
28,b,https://i.imgur.com/vxVYp2d.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
29,c,https://i.imgur.com/SVYLGdn.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
30,a,https://i.imgur.com/MJTSDMh.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
31,b,https://i.imgur.com/z67kd2A.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
33,c,https://i.imgur.com/qmBtaW5.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
34,d,https://i.imgur.com/RFrJvs8.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
35,c,https://i.imgur.com/dzhOGi7.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
36,c,https://i.imgur.com/gXvKjoR.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
37,c,https://i.imgur.com/Z91OWQw.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
38,c,https://i.imgur.com/0JGaY61.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
39,b,https://i.imgur.com/WBZHQSh.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
40,c,https://i.imgur.com/hQwg6py.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
41,b,https://i.imgur.com/zZ5H9qw.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
42,b,https://i.imgur.com/T1XlvhF.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
43,b,https://i.imgur.com/odTbkNq.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
44,b,https://i.imgur.com/1wX8uYg.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
45,b,https://i.imgur.com/RFOOXQQ.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
46,b,https://i.imgur.com/9kYZhOJ.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
47,c,https://i.imgur.com/BHJ8LM4.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
