,correct,QuestionLink,section type,optA,optB,optC,optD,category,usedFor,lang,source
1,b,https://i.imgur.com/WnraREq.png,locopilot_electrical,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
2,d,https://i.imgur.com/aOx4JRt.png,locopilot_electrical,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
3,c,https://i.imgur.com/EhyVHch.png,locopilot_electrical,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
5,d,https://i.imgur.com/8SqJZfv.png,locopilot_electrical,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
6,a,https://i.imgur.com/AhZYGXL.png,locopilot_electrical,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
7,a,https://i.imgur.com/zIaF9K6.png,locopilot_electrical,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
8,b,https://i.imgur.com/48cIOZM.png,locopilot_electrical,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
9,b,https://i.imgur.com/xmzqHxD.png,locopilot_electrical,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
10,c,https://i.imgur.com/GjKSC5h.png,locopilot_electrical,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
11,c,https://i.imgur.com/Z3CGYXD.png,locopilot_electrical,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
12,d,https://i.imgur.com/QapoErX.png,locopilot_electrical,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
13,a,https://i.imgur.com/jb3mVnm.png,locopilot_electrical,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
15,b,https://i.imgur.com/9P6bh4q.png,locopilot_electrical,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
16,b,https://i.imgur.com/E3mDYYu.png,locopilot_electrical,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
17,d,https://i.imgur.com/nzylrsY.png,locopilot_electrical,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
18,c,https://i.imgur.com/CvlJ7mW.png,locopilot_electrical,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
19,b,https://i.imgur.com/12AvLAs.png,locopilot_electrical,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
