SL.NO.,correct,QuestionLink,sectionType,optA,optB,optC,optD,category,usedFor,lang,source
1,A,https://i.imgur.com/4ngM4ul.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
2,B,https://i.imgur.com/OuUTj9M.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
3,B,https://i.imgur.com/4OvisJK.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
4,B,https://i.imgur.com/OpQl8QG.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
5,B,https://i.imgur.com/9DSH0wT.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
6,A,https://i.imgur.com/7lV3dKd.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
7,B,https://i.imgur.com/BiEd1pN.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
8,D,https://i.imgur.com/rVROPSe.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
9,A,https://i.imgur.com/LHmCGDi.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
10,B,https://i.imgur.com/pZKp4X3.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
11,A,https://i.imgur.com/3o6Bfds.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
12,A,https://i.imgur.com/nWqNFjy.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
13,C,https://i.imgur.com/yun1f7U.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
14,D,https://i.imgur.com/R2Lx5rX.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
15,B,https://i.imgur.com/qeLrKuG.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
16,C,https://i.imgur.com/yUA0jKv.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
17,B,https://i.imgur.com/Ea0cLfU.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
18,A,https://i.imgur.com/8H7jzbM.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
19,B,https://i.imgur.com/I6LR0dd.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
20,C,https://i.imgur.com/I4wbS6f.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
21,B,https://i.imgur.com/zdotk1m.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
22,D,https://i.imgur.com/9YcoALS.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
23,A,https://i.imgur.com/bRe4VX6.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
24,A,https://i.imgur.com/rNpJ9p5.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
25,B,https://i.imgur.com/jsGzEHU.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
26,B,https://i.imgur.com/jA8484F.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
27,C,https://i.imgur.com/O3PTJmn.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
28,B,https://i.imgur.com/LqrKX7M.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
29,C,https://i.imgur.com/1ZKAVjo.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
30,A,https://i.imgur.com/OyfLECw.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
