,correct,QuestionLink,section type,optA,optB,optC,optD,category,usedFor,lang,source
1,b,https://i.imgur.com/8xQcufa.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
2,c,https://i.imgur.com/jHsXbZs.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
3,a,https://i.imgur.com/wj28qai.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
4,a,https://i.imgur.com/jRN0YJf.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
5,b,https://i.imgur.com/eD4QFXf.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
6,c,https://i.imgur.com/4Q0qdhB.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
7,c,https://i.imgur.com/G5SXTP6.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
8,a,https://i.imgur.com/Yt0O1LK.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
9,c,https://i.imgur.com/bcLJobB.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
11,c,https://i.imgur.com/q4Ijw1g.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
12,d,https://i.imgur.com/AjiVvKW.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
13,b,https://i.imgur.com/KcmpIxz.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
14,a,https://i.imgur.com/EE55cju.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
15,d,https://i.imgur.com/tsjYSWq.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
16,b,https://i.imgur.com/mYTftzd.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
17,b,https://i.imgur.com/a8nsThS.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
18,c,https://i.imgur.com/DBe65XM.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
19,d,https://i.imgur.com/Gmrz9KY.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
21,d,https://i.imgur.com/nVny2Kx.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
22,c,https://i.imgur.com/CwAaCcX.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
23,c,https://i.imgur.com/M8R9DGr.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
24,a,https://i.imgur.com/suk5DMK.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
25,b,https://i.imgur.com/aJrsTdg.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
26,b,https://i.imgur.com/U46fxpn.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
27,a,https://i.imgur.com/MOdyhIL.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
28,c,https://i.imgur.com/WTfcPGT.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
29,c,https://i.imgur.com/R9VLGau.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
30,a,https://i.imgur.com/85e42PL.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
31,c,https://i.imgur.com/no99fmB.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
44,b,https://i.imgur.com/f8k9x4d.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
45,d,https://i.imgur.com/HFIWlKV.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
46,a,https://i.imgur.com/pfkkzcV.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
47,d,https://i.imgur.com/n9WDCoK.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
48,b,https://i.imgur.com/4fSc8oV.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
49,c,https://i.imgur.com/ks4l6Jd.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
50,c,https://i.imgur.com/rjOhl9P.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
51,c,https://i.imgur.com/FR2mcUi.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
52,b,https://i.imgur.com/8BrDycZ.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
53,d,https://i.imgur.com/WxrjiNW.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
54,b,https://i.imgur.com/RpTglYP.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
55,b,https://i.imgur.com/UXh5A8t.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
