SL.NO.,correct,QuestionLink,sectionType,optA,optB,optC,optD,category,usedFor,lang,source
1,A,https://i.imgur.com/4KHR9RZ.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
3,A,https://i.imgur.com/kCtFnBt.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
4,D,https://i.imgur.com/bppbpzO.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
5,B,https://i.imgur.com/0JgStyN.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
6,D,https://i.imgur.com/fwi4zxZ.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
7,B,https://i.imgur.com/sqiDDcU.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
8,A,https://i.imgur.com/6daabpO.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
9,C,https://i.imgur.com/QATguVa.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
10,A,https://i.imgur.com/rmtMZFC.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
11,D,https://i.imgur.com/jPPJA0E.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
12,A,https://i.imgur.com/K29zJOG.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
13,B,https://i.imgur.com/DRgJ0D5.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
15,A,https://i.imgur.com/ObupCr4.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
16,C,https://i.imgur.com/OgH9KSi.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
17,C,https://i.imgur.com/mw7wBRZ.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
18,B,https://i.imgur.com/TUOGUBG.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
19,A,https://i.imgur.com/gQHquwU.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
20,C,https://i.imgur.com/1ALgyrG.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
21,B,https://i.imgur.com/gdetWto.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
22,D,https://i.imgur.com/117CvEL.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
23,D,https://i.imgur.com/luMY55f.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
24,B,https://i.imgur.com/r1GeLSd.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
25,C,https://i.imgur.com/Zsjzune.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
26,B,https://i.imgur.com/rkrCV0o.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
27,A,https://i.imgur.com/lu30xwp.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
28,D,https://i.imgur.com/dZqhS6c.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
29,C,https://i.imgur.com/0RGLbR9.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
30,A,https://i.imgur.com/u47NpLb.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
31,A,https://i.imgur.com/Q8Wylmg.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
32,C,https://i.imgur.com/FBkx5cV.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
33,A,https://i.imgur.com/DlyRxbe.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
35,A,https://i.imgur.com/S7Fx1KV.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
36,A,https://i.imgur.com/F92Vx01.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
37,B,https://i.imgur.com/FcxjcIv.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
38,C,https://i.imgur.com/R5x2t19.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
39,B,https://i.imgur.com/LDhWEWJ.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
40,C,https://i.imgur.com/OJ8ln9p.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
41,A,https://i.imgur.com/UcmpWl7.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
43,C,https://i.imgur.com/ghf7eMn.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
44,D,https://i.imgur.com/rPKznJD.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
45,C,https://i.imgur.com/E3RSVYy.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
46,B,https://i.imgur.com/x57LdNu.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
47,C,https://i.imgur.com/rfuo22I.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
48,B,https://i.imgur.com/t30dEsB.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
49,B,https://i.imgur.com/itWjcQ8.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
50,B,https://i.imgur.com/RGr5CJp.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
51,C,https://i.imgur.com/W3rU6Nu.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
53,D,https://i.imgur.com/8JAQr8g.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
