sl.no,correct,QuestionLink,section_type,optA,optB,optC,optD,category,usedFor,lang,source
1,d,https://i.imgur.com/leaY3eU.png,loco_civil,A,B,C,D,12.4,loco_civil,bi,JEN
3,d,https://i.imgur.com/PtfqIjD.png,loco_civil,A,B,C,D,12.4,loco_civil,bi,JEN
4,b,https://i.imgur.com/cMI9CNt.png,loco_civil,A,B,C,D,12.4,loco_civil,bi,JEN
5,b,https://i.imgur.com/GSgq9nM.png,loco_civil,A,B,C,D,12.4,loco_civil,bi,JEN
6,c,https://i.imgur.com/HCymzCb.png,loco_civil,A,B,C,D,12.4,loco_civil,bi,JEN
8,b,https://i.imgur.com/lpwZaz8.png,loco_civil,A,B,C,D,12.4,loco_civil,bi,JEN
9,b,https://i.imgur.com/iB2Zkpc.png,loco_civil,A,B,C,D,12.4,loco_civil,bi,JEN
10,b,https://i.imgur.com/Khdj66z.png,loco_civil,A,B,C,D,12.4,loco_civil,bi,JEN
11,a,https://i.imgur.com/9MIXDCm.png,loco_civil,A,B,C,D,12.4,loco_civil,bi,JEN
12,c,https://i.imgur.com/XHios5V.png,loco_civil,A,B,C,D,12.4,loco_civil,bi,JEN
13,a,https://i.imgur.com/HXyOUkq.png,loco_civil,A,B,C,D,12.4,loco_civil,bi,JEN
14,b,https://i.imgur.com/GcUkVYL.png,loco_civil,A,B,C,D,12.4,loco_civil,bi,JEN
15,b,https://i.imgur.com/fafXClM.png,loco_civil,A,B,C,D,12.4,loco_civil,bi,JEN
16,b,https://i.imgur.com/pGVukpV.png,loco_civil,A,B,C,D,12.4,loco_civil,bi,JEN
17,c,https://i.imgur.com/S3ur8mF.png,loco_civil,A,B,C,D,12.4,loco_civil,bi,JEN
19,c,https://i.imgur.com/XKl0Hd0.png,loco_civil,A,B,C,D,12.4,loco_civil,bi,JEN
20,b,https://i.imgur.com/eetNDy4.png,loco_civil,A,B,C,D,12.4,loco_civil,bi,JEN
21,c,https://i.imgur.com/Jm67kMj.png,loco_civil,A,B,C,D,12.4,loco_civil,bi,JEN
22,c,https://i.imgur.com/u6seTlN.png,loco_civil,A,B,C,D,12.4,loco_civil,bi,JEN
23,d,https://i.imgur.com/W7zd0oz.png,loco_civil,A,B,C,D,12.4,loco_civil,bi,JEN
24,c,https://i.imgur.com/eZCJuu5.png,loco_civil,A,B,C,D,12.4,loco_civil,bi,JEN
25,a,https://i.imgur.com/nMee72B.png,loco_civil,A,B,C,D,12.4,loco_civil,bi,JEN
26,a,https://i.imgur.com/WJRrWtO.png,loco_civil,A,B,C,D,12.4,loco_civil,bi,JEN
27,d,https://i.imgur.com/v1aTOTL.png,loco_civil,A,B,C,D,12.4,loco_civil,bi,JEN
