sl.no,correct,QuestionLink,section_type,optA,optB,optC,optD,category,usedFor,lang,source
1,c,https://i.imgur.com/EKLKqEE.png,loco_civil,A,B,C,D,12.2,loco_civil,bi,JEN
2,c,https://i.imgur.com/639wZfa.png,loco_civil,A,B,C,D,12.2,loco_civil,bi,JEN
4,a,https://i.imgur.com/fGFzrZv.png,loco_civil,A,B,C,D,12.2,loco_civil,bi,JEN
5,a,https://i.imgur.com/DxwwMtU.png,loco_civil,A,B,C,D,12.2,loco_civil,bi,JEN
6,d,https://i.imgur.com/EH98Zya.png,loco_civil,A,B,C,D,12.2,loco_civil,bi,JEN
7,a,https://i.imgur.com/uOC1cMS.png,loco_civil,A,B,C,D,12.2,loco_civil,bi,JEN
8,a,https://i.imgur.com/lpZQYh9.png,loco_civil,A,B,C,D,12.2,loco_civil,bi,JEN
9,d,https://i.imgur.com/jVcbk3q.png,loco_civil,A,B,C,D,12.2,loco_civil,bi,JEN
10,c,https://i.imgur.com/kyHgI2M.png,loco_civil,A,B,C,D,12.2,loco_civil,bi,JEN
12,b,https://i.imgur.com/3KWbewg.png,loco_civil,A,B,C,D,12.2,loco_civil,bi,JEN
13,a,https://i.imgur.com/RGOqI7O.png,loco_civil,A,B,C,D,12.2,loco_civil,bi,JEN
14,a,https://i.imgur.com/ORIFnK0.png,loco_civil,A,B,C,D,12.2,loco_civil,bi,JEN
15,a,https://i.imgur.com/U2v6uJJ.png,loco_civil,A,B,C,D,12.2,loco_civil,bi,JEN
16,d,https://i.imgur.com/dZbGITD.png,loco_civil,A,B,C,D,12.2,loco_civil,bi,JEN
17,b,https://i.imgur.com/gw6YrAf.png,loco_civil,A,B,C,D,12.2,loco_civil,bi,JEN
18,d,https://i.imgur.com/rAzKRQc.png,loco_civil,A,B,C,D,12.2,loco_civil,bi,JEN
19,b,https://i.imgur.com/88QUXeu.png,loco_civil,A,B,C,D,12.2,loco_civil,bi,JEN
20,d,https://i.imgur.com/EAhmP2A.png,loco_civil,A,B,C,D,12.2,loco_civil,bi,JEN
21,a,https://i.imgur.com/LqW1TFO.png,loco_civil,A,B,C,D,12.2,loco_civil,bi,JEN
23,d,https://i.imgur.com/iLIneRd.png,loco_civil,A,B,C,D,12.2,loco_civil,bi,JEN
24,b,https://i.imgur.com/oOkQOag.png,loco_civil,A,B,C,D,12.2,loco_civil,bi,JEN
26,b,https://i.imgur.com/0poLWvY.png,loco_civil,A,B,C,D,12.2,loco_civil,bi,JEN
27,b,https://i.imgur.com/33YEQ7I.png,loco_civil,A,B,C,D,12.2,loco_civil,bi,JEN
28,a,https://i.imgur.com/BaUJEO6.png,loco_civil,A,B,C,D,12.2,loco_civil,bi,JEN
29,d,https://i.imgur.com/pfVbJd0.png,loco_civil,A,B,C,D,12.2,loco_civil,bi,JEN
31,b,https://i.imgur.com/I1tZlU1.png,loco_civil,A,B,C,D,12.2,loco_civil,bi,JEN
33,c,https://i.imgur.com/xoriEM3.png,loco_civil,A,B,C,D,12.2,loco_civil,bi,JEN
34,b,https://i.imgur.com/6qKjaO2.png,loco_civil,A,B,C,D,12.2,loco_civil,bi,JEN
35,b,https://i.imgur.com/s7U2Rh8.png,loco_civil,A,B,C,D,12.2,loco_civil,bi,JEN
36,a,https://i.imgur.com/04cEybp.png,loco_civil,A,B,C,D,12.2,loco_civil,bi,JEN
