sl.no.,correct,Question_link,section_type,optA,optB,optC,optD,category,usedFor,lang,sources
1,c,https://i.imgur.com/gR7u69p.png,loco_civil,A,B,C,D,13.6,loco_civil,bi,JEN
2,d,https://i.imgur.com/GaXjLxm.png,loco_civil,A,B,C,D,13.6,loco_civil,bi,JEN
4,c,https://i.imgur.com/uRC0DI7.png,loco_civil,A,B,C,D,13.6,loco_civil,bi,JEN
5,c,https://i.imgur.com/JxwyQE9.png,loco_civil,A,B,C,D,13.6,loco_civil,bi,JEN
6,c,https://i.imgur.com/MHSs0lZ.png,loco_civil,A,B,C,D,13.6,loco_civil,bi,JEN
7,d,https://i.imgur.com/IJKAP5y.png,loco_civil,A,B,C,D,13.6,loco_civil,bi,JEN
8,b,https://i.imgur.com/puVPuZJ.png,loco_civil,A,B,C,D,13.6,loco_civil,bi,JEN
9,c,https://i.imgur.com/06GymoU.png,loco_civil,A,B,C,D,13.6,loco_civil,bi,JEN
10,b,https://i.imgur.com/UUEQa0e.png,loco_civil,A,B,C,D,13.6,loco_civil,bi,JEN
11,a,https://i.imgur.com/60owmI5.png,loco_civil,A,B,C,D,13.6,loco_civil,bi,JEN
12,b,https://i.imgur.com/ZEAayTx.png,loco_civil,A,B,C,D,13.6,loco_civil,bi,JEN
14,c,https://i.imgur.com/ZRCR4cT.png,loco_civil,A,B,C,D,13.6,loco_civil,bi,JEN
