sl.no,correct,QuestionLink,section_type,optA,optB,optC,optD,category,usedFor,lang,source
1,c,https://i.imgur.com/gD9CU1q.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN
2,b,https://i.imgur.com/H3nvf19.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN
3,b,https://i.imgur.com/eBKLMmR.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN
4,a,https://i.imgur.com/cnqRW0s.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN
5,b,https://i.imgur.com/6XaUCn3.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN
7,a,https://i.imgur.com/tLZPCyf.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN
9,a,https://i.imgur.com/UBVPszu.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN
10,d,https://i.imgur.com/9E2gLVh.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN
11,a,https://i.imgur.com/S5rMapt.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN
12,b,https://i.imgur.com/HyTFgMm.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN
13,c,https://i.imgur.com/NKrEOaG.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN
14,a,https://i.imgur.com/jT2Nr7v.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN
15,a,https://i.imgur.com/snqdCAu.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN
16,d,https://i.imgur.com/K1oiuQI.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN
18,c,https://i.imgur.com/Z31cPVx.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN
19,a,https://i.imgur.com/tvoqKOs.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN
31,c,https://i.imgur.com/9obHrxp.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN
32,a,https://i.imgur.com/scDusDz.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN
33,a,https://i.imgur.com/p9ssQKc.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN
34,a,https://i.imgur.com/uS6SscB.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN
35,a,https://i.imgur.com/xiNg0gS.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN
36,c,https://i.imgur.com/QRAHbF0.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN
37,c,https://i.imgur.com/3Ug9B6q.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN
38,b,https://i.imgur.com/ukTxdmT.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN
39,c,https://i.imgur.com/NuXAetU.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN
40,b,https://i.imgur.com/kIYWCzu.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN
41,a,https://i.imgur.com/Lkk26wt.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN
42,d,https://i.imgur.com/VBqNLtf.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN
43,b,https://i.imgur.com/k8ltFyI.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN
44,c,https://i.imgur.com/KlO5VJg.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN
45,a,https://i.imgur.com/aYqWOrB.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN
46,d,https://i.imgur.com/4Q0BuCQ.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN
47,c,https://i.imgur.com/LbEP5Ss.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN
